你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
是因為我在外國做工作	OOOOOOOROO
我聽了	OSO
你找到了一份工作了	OOOOOOOOO
我聽的時候很高興的不得了了	OSOOOOOOOOOOO
	
聽說妳打算開一個慶祝會	OOOOOOOOOOO
可惜我不能參加	OOOOOOO
因為那個時候我有別的事	OOOOOOOOOOO
當然我也要參加給你慶祝慶祝	OOOOORROOOOOO
	
我要送給你一個慶祝禮物	OOOOOOOOOOO
要是兩、三天晚了	OOWWWWWW
請別生氣	OOOO
	
我們有時間時候再見面吧	OOOOOMOOOOO
下次請我給你好好兒的慶祝慶祝	OOOMOOOOOSOOOO
	
祝你找到了工作	SOOOOOO
最近找到工作很難	OOMOOOOO
可是你容易找到	OOOMOMO
我很高興	OOOO
	
我聽到你找到工作	OSSOOOOO
恭喜恭喜	OOOO
	
我很高興你找到了工作	OOOOOOOOOO
我寫卡是為了恭喜你	OOMOOOOOO
還有我要說我不能去慶祝會	OOOOOOOOOOOO
	
我對你很抱歉	OMOOOO
我也很想去	OOOOO
可是沒有辦法	OOOOOO
	
恭喜你剛剛找到了一個工作	OOOOOOOOOOOO
我為你真高興	OOOSOO
	
謝謝你邀請我來你慶祝會	OOOOOOOMMOO
但是我不能參加	OOOOOOO
	
因為我已經跟我的男朋友約好了一起去旅行	OOOOOOOOOOOOOOOOOOO
我們在你開晚會的那一天就出去	OOOOOSSOOOORSS
可是我真希望回來以後再跟你見面	OOOOOOOOOOOOOOO
	
你找到了好工作	MOOOOOO
恭喜	OO
恭喜	OO
我高興得要馬上給你寄信了	OOOOROOOOOOO
	
我要去你開的慶祝會	OOOOOOOOO
可是我不能去	OOOOOO
因為那天有我哥哥的婚禮典	OOOOOOOOOSSS
我一定需要參加	OOOOOOO
	
所以我要下次跟你一起吃飯	OOOWWWOOOOOO
請你告訴我你的工作枕木	OOOOOOOOORR
那個星期我跟我家人要去加州看我的奶奶	OOOOOOOOOOOOOOOOOO
因為最近他身體不健康	OOOOOOOOOO
我希望我不在的時候你會快樂地慶祝慶祝	OOOOOOOOOOMOOOOOOO
	
我是張愛文	OOOOO
聽說你找得到好好的工作	OOOSSSSOOOO
我恭喜妳找到工作啊	OOOOOOOOO
	
可是現在最近我工作很忙	OORROOOOOOO
所以我不能參加你的慶祝會	OOOOOOOOOOOO
